id_idioma_1;id_idioma_2;ds_frase_idioma_1;ds_frase_idioma_2;ds_frase_idioma_2_observacao;nm_arquivo_imagem;nm_arquivo_som
1;2;Aparei as pontas deles.;Aåapyr-etab.;Citaá∆o: VLB, I, 70;;
1;2;Doravante assim procedo.;Ko'yrÇ emon∆ aåk¢.;Citaá∆o: VLB, I, 27;;
1;2;As doenáas da alma do homem com ele saram bem.;Ab† 'anga mara'ara i pupÇ opñeår†-katu...;Citaá∆o: Anch., Teatro, 38;;
1;2;ê discreta, falando aos homens.;I kunus∆å ab† supÇ onhe'enga...;Citaá∆o: Anch., Doutr. Crist∆, I, 228;;
1;2;Para se vingar de seu c∆o que cria, um homem n∆o o alimenta.;O eåmbaba åagñara... resÇ oåepyka, ab† n'oåmomba'e'uå...;Citaá∆o: Ar., Cat., 11;;
1;2;Dizem que foi.;Os¢ ra'e.;Citaá∆o: VLB, I, 104;;
1;2;Vem para espantar o diabo, para que n∆o me dane.;◊ori anhanga mondyåa, ta xe momoxy um?.;Citaá∆o: Anch., Poemas, 132;;
1;2;Como a esses, matarei os que costumam pecar, fazendo-os cair comigo em meu fogo.;Anga å†, angaåpabora aåuk†, xe rat†pe sero'ane...;Citaá∆o: Anch., Teatro, 92;;
1;2;Vou como catador de madeira.;As¢ ybyr† piaramo.;Citaá∆o: VLB, I, 69;;
1;2;Examinando a armadilha de alguÇm, tomando o seu conte£do.;Ab† mundÇ supa, i pora r†.;Citaá∆o: Ar., Cat., 72v;;
1;2;Tu te comprazes quando um homem apalpa teus seios?;Nde rorype... nde kama ab† sung†reme?;Citaá∆o: Ar., Cat., 234;;
1;2;Mostra o erro de minhas palavras.;Eåkuabe'eng xe nhe'engaipaba.;Citaá∆o: Ar., Cat., 55v;;
1;2;Afastaste teu filho e teu escravo de suas amantes?;Ereåpe'ape nde ra'yra, nde remiañsuba i agñas† su°?;Citaá∆o: Ar., Cat., 100v;;
1;2;Eu tenho cabelos muito arrepiados.;Xe 'a-tyragñasu.;Citaá∆o: VLB, I, 150;;
1;2;fora, na rua;okarype;Citaá∆o: VLB, I, 141;;
1;2;Matai-o!;Peåuk†!;Citaá∆o: Anch., Arte, 18;;
1;2;Podem deixar um do outro?;E'ikatupe o åesu° opo'i?;Citaá∆o: Ar., Cat., 94v;;
1;2;Eu retomei o bom senso.;Xe tekokuabar.;Citaá∆o: VLB, II, 133;;
1;2;Eis que era costume, ent∆o, dar nome Ös pessoas.;« tek¢ a'ereme moreroka.;Citaá∆o: Ar., Cat., 3;;
1;2;Vou com ele.;SesÇ oros¢.;Citaá∆o: Anch., Arte, 44v;;
1;2;Deixa que venha.;T'o£ne turi.;Citaá∆o: VLB, I, 92;;
1;2;TambÇm queima vivo para sempre.;...SekobÇ abÇ okaå añåeramanh?.;Citaá∆o: Ar., Cat., 79v;;
1;2;Estando doente, de verdade, n∆o a ouviste, ou sendo preguiáoso?;Nde mba'easyramo Çpe nd'eresendubi koåp¢ nde ate'ymamo nh??;Citaá∆o: Ar., Cat., 110v;;
1;2;o que tem nome Guaixar†, o chamado Guaixar†;Gñaåxar† seryba'e...;Citaá∆o: Anch., Teatro, 6;;
1;2;Que n∆o me atraia a lei antiga de meus av¢s.;Ta xe momotar um? xe ram?åa rekopñera.;Citaá∆o: Anch., Poemas, 168;;
1;2;Que se alegre esta vossa terra.;...Ta ses∆å k¢ pe retama...;Citaá∆o: Anch., Teatro, 188, 2006;;
